ques_no,question,option1,option2,option3,option4,correct_option,marks_correct_ans,marks_wrong_ans,compulsory,time=20m
1,The Central Rice Research Station is situated in?,Chennai,Cuttack,Bangalore,Quilon,2,,,,
2,The metal whose salts are sensitive to light is?,Zinc,Silver,Copper,Aluminium2,2,,,,
3,The country that has the highest in Barley Production?,China,India,Russia,France,3,,,,
4,D.D.T. was invented by?,Mosley,Rudolf,Karl Benz,Dalton,1,,,,
5,The hottest planet in the Solar System?,Mercury,Venus,Mars,Jupiter,2,,,,
6,Which peninsular river is least seasonal in flow?,Narmada,Krishna,Godavari,Cauvery,3,,,,
7,Which of the following is not a nuclear power center?,Narora,Kota,Chamera,Kakrapara,3,,,,
8,Hitler party which came into power in 1933 is known as,Ku-Klux-klan,Democratic Party,Labour Party,Nazi Party,4,,,,
9,Friction can be reduced by changing from,Rolling to Sliding,Sliding to Rolling,Dynamic to Static,Potential Energy to Kinetic energy,2,,,,
10,Epsom (England) is the place associated with,Shooting,Horse Racing,Polo,Snooker,2,,,,
